	chromosome	db	type	start	stop	strand	gene_type	gene_name
1237	4	HAVANA	gene	138611631	138656131	-	lincRNA	RP13-884E18.4
1238	4	HAVANA	gene	139741108	139933800	-	antisense	RP11-371F15.3
1239	4	HAVANA	gene	139936943	139966906	+	protein_coding	CCRN4L
1240	4	HAVANA	gene	140222609	140341187	+	protein_coding	NAA15
1241	4	HAVANA	gene	140417095	140527853	-	protein_coding	SETD7
1242	4	HAVANA	gene	141178440	141306880	+	protein_coding	SCOC
1243	4	HAVANA	gene	141204878	141294535	-	antisense	RP11-425I13.3
1245	4	HAVANA	gene	141780961	142134031	-	protein_coding	RNF150
1246	4	HAVANA	gene	143854348	144106014	-	antisense	RP11-284M14.1
1248	4	HAVANA	gene	144434616	144478639	+	protein_coding	SMARCA5
1249	4	HAVANA	gene	144480625	144570458	+	pseudogene	GUSBP5
1250	4	HAVANA	gene	144498455	144621828	-	protein_coding	FREM3
1251	4	HAVANA	gene	144874788	145047512	+	antisense	RP11-673E1.4
1252	4	HAVANA	gene	144917257	145061844	-	protein_coding	GYPB
1254	4	HAVANA	gene	145030457	145061904	-	protein_coding	GYPA
1255	4	HAVANA	gene	146019084	146050331	+	protein_coding	ABCE1
1257	4	HAVANA	gene	146539415	146581187	+	protein_coding	MMAA
1259	4	HAVANA	gene	147175127	147443123	-	protein_coding	SLC10A7
1260	4	HAVANA	gene	148538534	148593195	+	protein_coding	TMEM184C
1262	4	HAVANA	gene	148653214	148993931	+	protein_coding	ARHGAP10
1264	4	HAVANA	gene	152023903	152246784	-	protein_coding	SH3D19
1265	4	HAVANA	gene	152330368	152584784	+	protein_coding	FAM160A1
1267	4	HAVANA	gene	153242410	153457253	-	protein_coding	FBXW7
1269	4	HAVANA	gene	153690506	153700916	-	protein_coding	TIGD4
1271	4	HAVANA	gene	154631277	154681387	-	protein_coding	RNF175
1272	4	HAVANA	gene	155456158	155471587	-	protein_coding	PLRG1
1274	4	HAVANA	gene	156197841	156302498	+	antisense	AC097467.2
1276	4	HAVANA	gene	156680144	156728743	+	protein_coding	GUCY1B3
1277	4	HAVANA	gene	156845270	156875069	-	protein_coding	CTSO
1278	4	HAVANA	gene	158125334	158287227	+	protein_coding	GRIA2
1280	4	HAVANA	gene	159122756	159176563	+	protein_coding	TMEM144
1282	4	HAVANA	gene	164445450	165305202	-	protein_coding	MARCH1
1283	4	HAVANA	gene	165675216	165724947	+	lincRNA	RP11-294O2.2
1284	4	HAVANA	gene	165995574	166129701	-	protein_coding	TMEM192
1286	4	HAVANA	gene	167654535	168155947	-	protein_coding	SPOCK3
1287	4	HAVANA	gene	169013666	169108841	+	protein_coding	ANXA10
1289	4	HAVANA	gene	169418217	169849608	+	protein_coding	PALLD
1290	4	HAVANA	gene	169784921	169931426	-	protein_coding	CBR4
1293	4	HAVANA	gene	170314426	170533780	-	protein_coding	NEK1
1295	4	HAVANA	gene	170981373	171012850	-	protein_coding	AADAT
1296	4	HAVANA	gene	172733405	173962710	+	protein_coding	GALNTL6
1298	4	HAVANA	gene	175204828	175254531	+	protein_coding	CEP44
1300	4	HAVANA	gene	175558065	175750465	-	protein_coding	GLRA3
1302	4	HAVANA	gene	176554085	176923815	-	protein_coding	GPM6A
1304	4	HAVANA	gene	181985242	182080302	-	lincRNA	LINC00290
1305	4	HAVANA	gene	185009859	185142383	-	protein_coding	ENPP6
1307	4	HAVANA	gene	185615772	185655287	-	protein_coding	MLF1IP
1309	4	HAVANA	gene	185910151	185926340	+	lincRNA	RP11-386B13.4
1311	4	HAVANA	gene	187112674	187134610	+	protein_coding	CYP4V2
1312	4	HAVANA	gene	187130133	187179625	+	protein_coding	KLKB1
1313	5	HAVANA	gene	4866634	4874872	+	lincRNA	CTD-2046I8.1
1315	5	HAVANA	gene	5420777	5490347	+	protein_coding	KIAA0947
1317	5	HAVANA	gene	6714718	6757161	+	protein_coding	PAPD7
1318	5	HAVANA	gene	10264709	10267258	-	antisense	CTD-2256P15.4
1320	5	HAVANA	gene	10679342	10761384	-	protein_coding	DAP
1321	5	HAVANA	gene	12574969	12804475	+	lincRNA	CT49
1323	5	HAVANA	gene	14664773	14699820	+	protein_coding	FAM105B
1325	5	HAVANA	gene	16616035	16630078	+	antisense	RP11-260E18.1
1326	5	HAVANA	gene	17065707	17276943	+	protein_coding	BASP1
1328	5	HAVANA	gene	21750782	22853731	-	protein_coding	CDH12
1330	5	HAVANA	gene	23951457	24178372	+	protein_coding	C5orf17
1331	5	HAVANA	gene	26711660	26750106	-	lincRNA	CTD-2533K21.4
1332	5	HAVANA	gene	28782785	28809356	-	lincRNA	CTD-2134P3.1
1333	5	HAVANA	gene	31193857	31329253	+	protein_coding	CDH6
1334	5	HAVANA	gene	31400604	31532303	-	protein_coding	DROSHA
1335	5	HAVANA	gene	33440802	33469644	+	protein_coding	TARS
1337	5	HAVANA	gene	34164803	34244901	-	pseudogene	RP11-1023L17.1
1338	5	HAVANA	gene	34915481	34926101	+	protein_coding	BRIX1
1339	5	HAVANA	gene	34998206	35048198	-	protein_coding	AGXT2
1340	5	HAVANA	gene	36035119	36071460	-	protein_coding	UGT3A2
1342	5	HAVANA	gene	36666316	36725297	-	antisense	CTD-2353F22.1
1344	5	HAVANA	gene	37288239	37371283	-	protein_coding	NUP155
1346	5	HAVANA	gene	38258511	38465123	+	protein_coding	EGFLAM
1348	5	HAVANA	gene	38845960	38945698	+	protein_coding	OSMR
1349	5	HAVANA	gene	39105338	39274630	-	protein_coding	FYB
1350	5	HAVANA	gene	40759481	40798476	-	protein_coding	PRKAA1
1351	5	HAVANA	gene	43014516	43067521	-	sense_overlapping	CTD-2201E18.3
1352	5	HAVANA	gene	43041677	43045492	+	antisense	AC025171.1
1353	5	HAVANA	gene	43515376	43525412	+	antisense	RP11-159F24.5
1354	5	HAVANA	gene	44745002	44808879	-	antisense	RP11-53O19.1
1355	5	HAVANA	gene	52391509	52405893	-	protein_coding	MOCS2
1357	5	HAVANA	gene	54408799	54469005	-	protein_coding	CDC20B
1359	5	HAVANA	gene	54921673	55069022	-	protein_coding	SLC38A9
1360	5	HAVANA	gene	55147207	55218678	+	protein_coding	IL31RA
1361	5	HAVANA	gene	55395507	55529186	-	protein_coding	ANKRD55
1363	5	HAVANA	gene	56195868	56206541	-	antisense	AC008937.3
1365	5	HAVANA	gene	58264865	59817947	-	protein_coding	PDE4D
1366	5	HAVANA	gene	59892739	59996017	-	protein_coding	DEPDC1B
1368	5	HAVANA	gene	60240956	60448853	+	protein_coding	NDUFAF2
1370	5	HAVANA	gene	61601989	61833076	+	protein_coding	KIF2A
1371	5	HAVANA	gene	61683081	61699766	-	protein_coding	DIMT1
1374	5	HAVANA	gene	63461671	63668696	+	protein_coding	RNF180
1375	5	HAVANA	gene	65018023	65167553	+	protein_coding	NLN
1376	5	HAVANA	gene	65435799	65479443	+	protein_coding	SREK1
1377	5	HAVANA	gene	65892176	66465423	+	protein_coding	MAST4
1378	5	HAVANA	gene	67511548	67597649	+	protein_coding	PIK3R1
1380	5	HAVANA	gene	68788119	68853931	+	protein_coding	OCLN
1381	5	HAVANA	gene	68790040	69006341	-	pseudogene	GUSBP3
1382	5	HAVANA	gene	70264310	70320941	-	protein_coding	NAIP
1383	5	HAVANA	gene	71515236	71616473	-	protein_coding	MRPS27
1385	5	HAVANA	gene	72112139	72212560	+	protein_coding	TNPO1
1387	5	HAVANA	gene	72921983	73237818	+	protein_coding	ARHGEF28
1389	5	HAVANA	gene	74632154	74657929	+	protein_coding	HMGCR
1390	5	HAVANA	gene	74664311	74807963	-	protein_coding	COL4A3BP
1391	5	HAVANA	gene	74969949	75013313	-	protein_coding	POC5
1393	5	HAVANA	gene	75378997	75649764	+	protein_coding	SV2C
1395	5	HAVANA	gene	76114758	76131140	+	protein_coding	F2RL1
1396	5	HAVANA	gene	76145826	76217475	+	protein_coding	S100Z
1397	5	HAVANA	gene	76382565	76462734	+	antisense	ZBED3-AS1
1399	5	HAVANA	gene	76721795	76916436	-	protein_coding	WDR41
1401	5	HAVANA	gene	77656339	77776562	+	protein_coding	SCAMP1
1402	5	HAVANA	gene	78073032	78281910	-	protein_coding	ARSB
1403	5	HAVANA	gene	79950467	80172279	+	protein_coding	MSH3
1405	5	HAVANA	gene	80597409	80609116	+	protein_coding	ZCCHC9
1407	5	HAVANA	gene	81267844	81572676	+	protein_coding	ATG10
1409	5	HAVANA	gene	82933624	83017432	-	protein_coding	HAPLN1
1411	5	HAVANA	gene	86563705	86687748	+	protein_coding	RASA1
1413	5	HAVANA	gene	87972036	88018648	+	antisense	CTC-467M3.1
1415	5	HAVANA	gene	89825161	90460038	+	protein_coding	GPR98
1417	5	HAVANA	gene	92953775	93447404	-	protein_coding	FAM172A
1419	5	HAVANA	gene	94039446	94620279	-	protein_coding	MCTP1
1421	5	HAVANA	gene	95860971	96115299	+	protein_coding	CAST
1423	5	HAVANA	gene	96519303	96772921	+	processed_transcript	RP11-155G15.2
1424	5	HAVANA	gene	96523794	96537584	-	antisense	CTD-2215E18.2
1427	5	HAVANA	gene	101569690	101632253	-	protein_coding	SLCO4C1
1428	5	HAVANA	gene	102766107	102862319	-	pseudogene	AC010423.1
1430	5	HAVANA	gene	109624934	110074657	-	protein_coding	TMEM232
1431	5	HAVANA	gene	110073837	110100857	+	protein_coding	SLC25A46
1432	5	HAVANA	gene	110427414	110466200	+	protein_coding	WDR36
1434	5	HAVANA	gene	110559351	110830584	+	protein_coding	CAMK4
1435	5	HAVANA	gene	110847924	111075423	+	antisense	STARD4-AS1
1436	5	HAVANA	gene	111478138	111755013	-	protein_coding	EPB41L4A
1438	5	HAVANA	gene	112212084	112258236	-	protein_coding	REEP5
1440	5	HAVANA	gene	114602885	114632528	-	protein_coding	CCDC112
1442	5	HAVANA	gene	114914339	114961876	-	protein_coding	TICAM2
1443	5	HAVANA	gene	114914339	114961858	-	protein_coding	TMED7-TICAM2
1446	5	HAVANA	gene	115420688	115748459	+	protein_coding	COMMD10
1448	5	HAVANA	gene	116751205	116881993	+	lincRNA	LINC00992
1449	5	HAVANA	gene	118173017	118324240	-	protein_coding	DTWD2
1451	5	HAVANA	gene	119799973	120023027	+	protein_coding	PRR16
1452	5	HAVANA	gene	121465208	121515312	+	protein_coding	ZNF474
1453	5	HAVANA	gene	122971804	122973097	+	pseudogene	KRT18P16
1455	5	HAVANA	gene	128836054	129241610	-	antisense	CTC-575N7.1
1457	5	HAVANA	gene	130581186	130734140	+	protein_coding	CDC42SE2
1458	5	HAVANA	gene	130759614	130970929	-	protein_coding	RAPGEF6
1459	5	HAVANA	gene	130761584	131132676	-	protein_coding	CTC-432M15.3
1460	5	HAVANA	gene	132211071	132299326	-	protein_coding	AFF4
1461	5	HAVANA	gene	133307606	133340824	-	protein_coding	VDAC1
1462	5	HAVANA	gene	134209493	134237215	+	protein_coding	TXNDC15
1463	5	HAVANA	gene	134240596	134343649	+	protein_coding	PCBD2
1464	5	HAVANA	gene	134669590	134735604	-	protein_coding	H2AFY
1465	5	HAVANA	gene	135170338	135224326	+	protein_coding	SLC25A48
1466	5	HAVANA	gene	137475455	137514675	-	protein_coding	BRD8
1468	5	HAVANA	gene	137688285	137772717	+	protein_coding	KDM3B
1469	5	HAVANA	gene	137890571	137911133	-	protein_coding	HSPA9
1470	5	HAVANA	gene	139175406	139224051	+	protein_coding	PSD2
1471	5	HAVANA	gene	139554227	139661637	+	protein_coding	CYSTM1
1472	5	HAVANA	gene	139579748	139582772	+	sense_intronic	CTB-131B5.2
1475	5	HAVANA	gene	140894583	140998622	-	protein_coding	DIAPH1
1476	5	HAVANA	gene	141016517	141020644	+	protein_coding	RELL2
1477	5	HAVANA	gene	141018869	141030986	-	protein_coding	FCHSD1
1478	5	HAVANA	gene	141371314	141392606	-	protein_coding	GNPDA1
1480	5	HAVANA	gene	142149949	142608576	+	protein_coding	ARHGAP26
1482	5	HAVANA	gene	143537723	143550278	-	protein_coding	YIPF5
1484	5	HAVANA	gene	145316142	145461354	+	protein_coding	SH3RF2
1486	5	HAVANA	gene	145826874	145891524	+	protein_coding	TCERG1
1488	5	HAVANA	gene	146967990	147162338	-	protein_coding	JAKMIP2
1489	5	HAVANA	gene	147763498	147822399	+	protein_coding	FBXO38
1491	5	HAVANA	gene	148651434	148721365	+	protein_coding	AFAP1L1
1493	5	HAVANA	gene	148931510	149014531	+	protein_coding	ARHGEF37
1495	5	HAVANA	gene	149372681	149380730	-	protein_coding	TIGD6
1497	5	HAVANA	gene	151150606	151192346	+	protein_coding	G3BP1
1499	5	HAVANA	gene	154320630	154348971	+	protein_coding	MRPL22
1501	5	HAVANA	gene	156693089	156822606	+	protein_coding	CYFIP2
1503	5	HAVANA	gene	158584417	158637061	-	protein_coding	RNF145
1504	5	HAVANA	gene	158690089	158713044	+	protein_coding	UBLCP1
1505	5	HAVANA	gene	162864575	162873157	+	protein_coding	CCNG1
1506	5	ENSEMBL	gene	162866447	162873821	-	protein_coding	AC112205.1
1507	5	HAVANA	gene	163723702	164598649	+	antisense	CTC-340A15.2
1509	5	HAVANA	gene	164776036	165205694	+	lincRNA	CTC-535M15.2
1511	5	HAVANA	gene	166711804	167691162	+	protein_coding	TENM2
1513	5	HAVANA	gene	169010638	169031782	+	protein_coding	SPDL1
1515	5	HAVANA	gene	169780491	170163636	+	protein_coding	KCNIP1
1517	5	HAVANA	gene	170066162	170108441	-	antisense	CTC-265N9.1
1518	5	HAVANA	gene	170814120	170838141	+	protein_coding	NPM1
1520	5	HAVANA	gene	171752185	171881527	-	protein_coding	SH3PXD2B
1522	5	HAVANA	gene	172385732	172396774	+	protein_coding	RPL26L1
1524	5	HAVANA	gene	174178307	174277728	+	lincRNA	CTD-2532K18.1
1525	5	HAVANA	gene	174904065	174956745	+	protein_coding	SFXN1
1527	5	HAVANA	gene	175344876	175461683	-	protein_coding	THOC3
1528	5	HAVANA	gene	175487692	175559261	+	protein_coding	FAM153B
1529	5	HAVANA	gene	176022803	176037134	-	protein_coding	GPRIN1
1531	5	HAVANA	gene	177236408	177377733	+	pseudogene	RP11-423H2.1
1533	5	HAVANA	gene	178537852	178772431	-	protein_coding	ADAMTS2
1535	5	HAVANA	gene	178977559	179037027	+	protein_coding	RUFY1
1536	5	HAVANA	gene	179022905	179030742	-	antisense	RP11-1379J22.2
1537	5	HAVANA	gene	179261436	179289173	-	protein_coding	C5orf45
1538	5	HAVANA	gene	179527795	179636153	-	protein_coding	RASGEF1C
1540	5	HAVANA	gene	180663909	180675096	-	protein_coding	GNB2L1
1541	6	HAVANA	gene	131910	144885	-	lincRNA	LINC00266-3
1542	6	HAVANA	gene	2663863	2751200	-	protein_coding	MYLK4
1543	6	HAVANA	gene	2765648	2787186	+	protein_coding	WRNIP1
1544	6	HAVANA	gene	3722848	3752260	-	protein_coding	PXDC1
1546	6	HAVANA	gene	4021501	4065217	+	protein_coding	PRPF4B
1547	6	HAVANA	gene	4049668	4087578	-	protein_coding	FAM217A
1548	6	HAVANA	gene	5261277	5771813	+	protein_coding	FARS2
1550	6	HAVANA	gene	6346698	6623004	-	antisense	LY86-AS1
1551	6	HAVANA	gene	6588341	6655216	+	protein_coding	LY86
1552	6	HAVANA	gene	7389729	7418270	+	protein_coding	RIOK1
1553	6	HAVANA	gene	8015959	8102763	-	protein_coding	EEF1E1-BLOC1S5
1554	6	HAVANA	gene	8073593	8102811	-	protein_coding	EEF1E1
1555	6	HAVANA	gene	10434549	10457014	+	lincRNA	RP1-290I10.7
1556	6	HAVANA	gene	10747992	10852986	+	protein_coding	TMEM14B
1557	6	HAVANA	gene	10748027	10979553	+	protein_coding	SYCP2L
1558	6	HAVANA	gene	10748027	10930656	+	protein_coding	RP11-637O19.3
1559	6	HAVANA	gene	10762956	10838764	-	protein_coding	MAK
1562	6	HAVANA	gene	12290596	12297427	+	protein_coding	EDN1
1564	6	HAVANA	gene	13265093	13295818	-	antisense	RP1-257A7.4
1565	6	HAVANA	gene	13266774	13328815	-	protein_coding	TBC1D7
1566	6	HAVANA	gene	13574816	13614790	+	protein_coding	SIRT5
1567	6	HAVANA	gene	15523032	15663289	-	protein_coding	DTNBP1
1569	6	HAVANA	gene	16238811	16295780	+	protein_coding	GMPR
1571	6	HAVANA	gene	18155560	18224084	+	protein_coding	KDM1B
1572	6	HAVANA	gene	21665003	22214734	+	lincRNA	CASC15
1573	6	HAVANA	gene	24403153	24425810	+	protein_coding	MRS2
1575	6	HAVANA	gene	25081548	25166793	-	pseudogene	CMAHP
1576	6	HAVANA	gene	28962562	28973093	-	protein_coding	ZNF311
1578	6	HAVANA	gene	31368479	31445283	+	sense_overlapping	HCP5
1579	6	HAVANA	gene	31371356	31383092	+	protein_coding	MICA
1580	6	HAVANA	gene	32916390	32936871	-	protein_coding	HLA-DMA
1582	6	HAVANA	gene	33244917	33252609	+	protein_coding	B3GALT4
1583	6	HAVANA	gene	33246885	33257304	-	protein_coding	WDR46
1586	6	HAVANA	gene	33989628	34123399	-	protein_coding	GRM4
1587	6	HAVANA	gene	35182190	35220856	+	protein_coding	SCUBE3
1588	6	HAVANA	gene	35226686	35263762	+	protein_coding	ZNF76
1589	6	HAVANA	gene	35410821	35417643	+	pseudogene	MKRNP2
1590	6	HAVANA	gene	35441374	35464853	-	protein_coding	TEAD3
1591	6	HAVANA	gene	36708552	36807778	-	protein_coding	CPNE5
1593	6	HAVANA	gene	37179956	37225931	-	protein_coding	TMEM217
1594	6	HAVANA	gene	37321748	37362514	+	protein_coding	RNF8
1595	6	HAVANA	gene	38683117	38998301	+	protein_coding	DNAH8
1596	6	HAVANA	gene	38730681	38732470	+	pseudogene	RP1-217P22.2
1598	6	HAVANA	gene	41001366	41065526	-	protein_coding	OARD1
1599	6	HAVANA	gene	41040684	41067715	+	protein_coding	NFYA
1602	6	HAVANA	gene	41651716	41703997	-	protein_coding	TFEB
1603	6	HAVANA	gene	41688134	41701770	+	antisense	RP11-298J23.5
1604	6	HAVANA	gene	41902671	42018095	-	protein_coding	CCND3
1605	6	HAVANA	gene	42531800	42661242	+	protein_coding	UBR2
1607	6	HAVANA	gene	43477440	43497323	+	protein_coding	POLR1C
1608	6	HAVANA	gene	43490072	43543812	-	protein_coding	XPO5
1609	6	HAVANA	gene	43543887	43586701	+	protein_coding	POLH
1610	6	HAVANA	gene	44240931	44346694	+	protein_coding	RP11-444E17.6
1611	6	HAVANA	gene	44310397	44344904	+	protein_coding	SPATS1
1612	6	HAVANA	gene	44355262	44418163	+	protein_coding	CDC5L
1613	6	HAVANA	gene	45868045	46048132	-	protein_coding	CLIC5
1615	6	HAVANA	gene	49431091	49460820	+	protein_coding	CENPQ
1617	6	HAVANA	gene	50555320	50604918	-	lincRNA	RP1-28O17.1
1618	6	HAVANA	gene	52128807	52149679	-	protein_coding	MCM3
1620	6	HAVANA	gene	52529946	52533953	+	pseudogene	RP1-152L7.5
1621	6	HAVANA	gene	52916789	52965671	+	protein_coding	FBXO9
1622	6	HAVANA	gene	55039050	55147418	+	protein_coding	HCRTR2
1624	6	HAVANA	gene	55921388	56258892	-	protein_coding	COL21A1
1626	6	HAVANA	gene	57179603	57513375	+	protein_coding	PRIM2
1627	6	HAVANA	gene	63985856	64029882	-	protein_coding	LGSN
1629	6	HAVANA	gene	64429876	66417118	-	protein_coding	EYS
1631	6	HAVANA	gene	69339854	69344919	-	antisense	RP3-525N10.2
1632	6	HAVANA	gene	70576463	70919679	+	protein_coding	COL19A1
1634	6	HAVANA	gene	72004876	72127139	-	lincRNA	RP3-331H24.5
1635	6	HAVANA	gene	72054047	72130472	-	lincRNA	LINC00472
1638	6	HAVANA	gene	72596406	73112845	+	protein_coding	RIMS1
1640	6	HAVANA	gene	74171301	74218959	+	protein_coding	MTO1
1642	6	HAVANA	gene	76458909	76629254	+	protein_coding	MYO6
1643	6	HAVANA	gene	79577189	79656157	+	protein_coding	IRAK1BP1
1645	6	HAVANA	gene	80581590	80584327	+	lincRNA	RP1-92C4.2
1646	6	HAVANA	gene	82879700	82957471	-	protein_coding	IBTK
1647	6	HAVANA	gene	83777385	83881069	+	protein_coding	DOPEY1
1648	6	HAVANA	gene	83870869	83903655	-	protein_coding	PGM3
1649	6	HAVANA	gene	83903098	83908651	+	protein_coding	RWDD2A
1650	6	HAVANA	gene	84262599	84419410	-	protein_coding	SNAP91
1652	6	HAVANA	gene	86215214	86303874	-	protein_coding	SNX14
1653	6	HAVANA	gene	86318053	86353510	-	protein_coding	SYNCRIP
1654	6	HAVANA	gene	89319985	89673348	-	protein_coding	RNGTT
1656	6	HAVANA	gene	90539613	90584155	+	processed_transcript	CASP8AP2
1657	6	HAVANA	gene	96969471	97003152	+	protein_coding	UFL1
1659	6	HAVANA	gene	99719045	99797938	-	protein_coding	FAXC
1660	6	HAVANA	gene	99880190	99969604	-	protein_coding	USP45
1661	6	HAVANA	gene	100956070	101329248	-	protein_coding	ASCC3
1662	6	HAVANA	gene	105175968	105307794	-	protein_coding	HACE1
1663	6	HAVANA	gene	106632351	106773666	-	protein_coding	ATG5
1665	6	HAVANA	gene	108188960	108279393	-	protein_coding	SEC63
1666	6	HAVANA	gene	109307640	109416022	-	protein_coding	SESN1
1667	6	HAVANA	gene	109416313	109485135	+	protein_coding	CEP57L1
1668	6	HAVANA	gene	109711418	109762374	-	protein_coding	PPIL6
1670	6	HAVANA	gene	110745890	110797844	-	protein_coding	SLC22A16
1672	6	HAVANA	gene	111303218	111349466	+	protein_coding	RPF2
1674	6	HAVANA	gene	111548950	111580237	-	antisense	RP11-428F8.2
1676	6	HAVANA	gene	111981535	112194655	-	protein_coding	FYN
1677	6	HAVANA	gene	112408802	112423993	+	protein_coding	FAM229B
1678	6	HAVANA	gene	112429963	112576141	-	protein_coding	LAMA4
1679	6	HAVANA	gene	116422012	116570660	+	protein_coding	NT5DC1
1680	6	HAVANA	gene	116440086	116479910	-	protein_coding	COL10A1
1682	6	HAVANA	gene	116892530	116918838	+	protein_coding	RWDD1
1683	6	HAVANA	gene	117002350	117063029	+	protein_coding	KPNA5
1684	6	HAVANA	gene	117609463	117747018	-	protein_coding	ROS1
1686	6	HAVANA	gene	117639374	117923691	-	protein_coding	GOPC
1687	6	HAVANA	gene	118228689	118638839	+	protein_coding	SLC35F1
1689	6	HAVANA	gene	119134605	119256327	-	protein_coding	MCM9
1690	6	HAVANA	gene	122793076	123047518	+	protein_coding	PKIB
1691	6	HAVANA	gene	123537483	123958238	-	protein_coding	TRDN
1693	6	HAVANA	gene	125541108	125623282	-	protein_coding	HDDC2
1694	6	HAVANA	gene	126307576	126360422	+	protein_coding	TRMT11
1696	6	HAVANA	gene	127439749	127518910	+	protein_coding	RSPO3
1697	6	HAVANA	gene	127587755	127609712	+	protein_coding	RNF146
1698	6	HAVANA	gene	129204342	129837714	+	protein_coding	LAMA2
1699	6	HAVANA	gene	129897277	130031370	-	protein_coding	ARHGAP18
1700	6	HAVANA	gene	130334844	130462594	+	protein_coding	L3MBTL3
1702	6	HAVANA	gene	132223103	132241705	+	lincRNA	RP11-69I8.2
1704	6	HAVANA	gene	133090509	133119701	-	protein_coding	SLC18B1
1706	6	HAVANA	gene	133823390	134213074	-	antisense	RP3-323P13.2
1708	6	HAVANA	gene	135281516	135424194	-	protein_coding	HBS1L
1710	6	HAVANA	gene	135604670	135818914	-	protein_coding	AHI1
1712	6	HAVANA	gene	136552162	136571473	-	protein_coding	MTFR2
1713	6	HAVANA	gene	136578001	136610989	-	protein_coding	BCLAF1
1714	6	HAVANA	gene	138266503	138293659	+	lincRNA	RP11-240M16.1
1715	6	HAVANA	gene	139117063	139225207	+	protein_coding	ECT2L
1717	6	HAVANA	gene	142468367	142545826	+	protein_coding	VTA1
1718	6	HAVANA	gene	142622991	142767403	+	protein_coding	GPR126
1719	6	HAVANA	gene	143771944	143811147	+	protein_coding	PEX3
1721	6	HAVANA	gene	144261437	144385735	-	protein_coding	PLAGL1
1722	6	HAVANA	gene	144357755	144358841	+	pseudogene	RP3-340H11.2
1725	6	HAVANA	gene	144606837	145174170	+	protein_coding	UTRN
1727	6	HAVANA	gene	145822719	146057160	-	protein_coding	EPM2A
1728	6	HAVANA	gene	146136048	146207721	+	antisense	RP11-545I5.3
1729	6	HAVANA	gene	146185381	146285559	-	protein_coding	SHPRH
1730	6	HAVANA	gene	146920101	147136598	+	protein_coding	ADGB
1732	6	HAVANA	gene	147525561	147706866	+	protein_coding	STXBP5
1734	6	HAVANA	gene	149068464	149398126	+	protein_coding	UST
1736	6	HAVANA	gene	150920999	151164799	+	protein_coding	PLEKHG1
1737	6	HAVANA	gene	151186685	151423023	+	protein_coding	MTHFD1L
1738	6	HAVANA	gene	153019030	153045702	+	protein_coding	MYCT1
1740	6	HAVANA	gene	153308497	153323820	-	protein_coding	MTRF1L
1741	6	HAVANA	gene	154331631	154568001	+	protein_coding	OPRM1
1742	6	HAVANA	gene	154475631	154677926	-	protein_coding	IPCEF1
1745	6	HAVANA	gene	155578643	155635627	-	protein_coding	TFB1M
1747	6	HAVANA	gene	157710418	157744633	-	protein_coding	TMEM242
1748	6	HAVANA	gene	158402888	158520208	+	protein_coding	SYNJ2
1749	6	HAVANA	gene	158589384	158620376	+	protein_coding	GTF2H5
1750	6	HAVANA	gene	158957468	159056460	+	protein_coding	TMEM181
1751	6	HAVANA	gene	159030738	159042668	-	pseudogene	TATDN2P2
1752	6	HAVANA	gene	159071046	159185908	+	protein_coding	SYTL3
1753	6	HAVANA	gene	160090089	160183561	-	protein_coding	SOD2
1755	6	HAVANA	gene	161119320	161121664	+	lincRNA	RP1-81D8.3
1757	6	HAVANA	gene	161768452	163148803	-	protein_coding	PARK2
1759	6	HAVANA	gene	165740776	166400091	-	protein_coding	PDE10A
1760	6	HAVANA	gene	168227602	168372703	+	protein_coding	MLLT4
1761	7	HAVANA	gene	855528	936072	+	protein_coding	SUN1
1762	7	HAVANA	gene	1509913	1545489	-	protein_coding	INTS1
1764	7	HAVANA	gene	4815253	4833943	+	protein_coding	AP5Z1
1766	7	HAVANA	gene	5470966	5553429	-	protein_coding	FBXL18
1768	7	HAVANA	gene	5659678	5821370	-	protein_coding	RNF216
1769	7	HAVANA	gene	5862791	5894066	+	pseudogene	ZNF815P
1770	7	HAVANA	gene	6537093	6591067	-	protein_coding	GRID2IP
1771	7	HAVANA	gene	6793740	6838996	+	protein_coding	RSPH10B2
1772	7	HAVANA	gene	11221359	11559802	+	processed_transcript	AC004538.3
1774	7	HAVANA	gene	12536055	12581536	+	lincRNA	AC005281.1
1776	7	HAVANA	gene	13141016	13743774	+	lincRNA	AC011288.2
1778	7	HAVANA	gene	14184674	15014402	-	protein_coding	DGKB
1780	7	HAVANA	gene	16130817	16460947	-	protein_coding	ISPD
1781	7	HAVANA	gene	16633253	16633849	-	lincRNA	GS1-166A23.2
1782	7	HAVANA	gene	18126572	19042039	+	protein_coding	HDAC9
1784	7	HAVANA	gene	19060614	19157295	-	protein_coding	TWIST1
1785	7	HAVANA	gene	19152097	19153894	+	antisense	AC003986.6
1788	7	HAVANA	gene	20654830	20816658	+	protein_coding	ABCB5
1790	7	HAVANA	gene	22459063	22672544	-	protein_coding	STEAP1B
1792	7	HAVANA	gene	23275586	23314727	+	protein_coding	GPNMB
1793	7	HAVANA	gene	23544399	23571660	-	protein_coding	TRA2A
1794	7	HAVANA	gene	25174316	25219975	-	protein_coding	C7orf31
1796	7	HAVANA	gene	26706681	27034858	-	protein_coding	SKAP2
1798	7	HAVANA	gene	27233122	27239725	-	protein_coding	HOXA13
1800	7	HAVANA	gene	27870192	28220362	-	protein_coding	JAZF1
1802	7	HAVANA	gene	29638411	29724871	-	pseudogene	ZNRF2P2
1803	7	HAVANA	gene	29689843	29782210	+	pseudogene	AC007276.5
