userId	geneSymbol	geneName	entrezgene	gLink
KLF11	KLF11	Kruppel like factor 11	8462	https://www.ncbi.nlm.nih.gov/gene/?term=8462
CPSF3	CPSF3	cleavage and polyadenylation specific factor 3	51692	https://www.ncbi.nlm.nih.gov/gene/?term=51692
CYS1	CYS1	cystin 1	192668	https://www.ncbi.nlm.nih.gov/gene/?term=192668
SNORA26	SNORA26	small nucleolar RNA, H/ACA box 26	677810	https://www.ncbi.nlm.nih.gov/gene/?term=677810
RRM2	RRM2	ribonucleotide reductase regulatory subunit M2	6241	https://www.ncbi.nlm.nih.gov/gene/?term=6241
C2orf48	C2orf48	chromosome 2 open reading frame 48	348738	https://www.ncbi.nlm.nih.gov/gene/?term=348738
MIR4261	MIR4261	microRNA 4261	100422929	https://www.ncbi.nlm.nih.gov/gene/?term=100422929
RN7SL66P	RN7SL66P	RNA, 7SL, cytoplasmic 66, pseudogene	106480485	https://www.ncbi.nlm.nih.gov/gene/?term=106480485
SNORA51	SNORA51	small nucleolar RNA, H/ACA box 51	677831	https://www.ncbi.nlm.nih.gov/gene/?term=677831
HPCAL1	HPCAL1	hippocalcin like 1	3241	https://www.ncbi.nlm.nih.gov/gene/?term=3241
ODC1	ODC1	ornithine decarboxylase 1	4953	https://www.ncbi.nlm.nih.gov/gene/?term=4953
SNORA80B	SNORA80B	small nucleolar RNA, H/ACA box 80B	100302743	https://www.ncbi.nlm.nih.gov/gene/?term=100302743
NOL10	NOL10	nucleolar protein 10	79954	https://www.ncbi.nlm.nih.gov/gene/?term=79954
RN7SL832P	RN7SL832P	RNA, 7SL, cytoplasmic 832, pseudogene	106479524	https://www.ncbi.nlm.nih.gov/gene/?term=106479524
GDF7	GDF7	growth differentiation factor 7	151449	https://www.ncbi.nlm.nih.gov/gene/?term=151449
APOB	APOB	apolipoprotein B	338	https://www.ncbi.nlm.nih.gov/gene/?term=338
TDRD15	TDRD15	tudor domain containing 15	100129278	https://www.ncbi.nlm.nih.gov/gene/?term=100129278
RN7SL117P	RN7SL117P	RNA, 7SL, cytoplasmic 117, pseudogene	106479264	https://www.ncbi.nlm.nih.gov/gene/?term=106479264
RNU6-242P	RNU6-242P	RNA, U6 small nuclear 242, pseudogene	106481254	https://www.ncbi.nlm.nih.gov/gene/?term=106481254
THADA	THADA	THADA, armadillo repeat containing	63892	https://www.ncbi.nlm.nih.gov/gene/?term=63892
ZFP36L2	ZFP36L2	ZFP36 ring finger protein like 2	678	https://www.ncbi.nlm.nih.gov/gene/?term=678
RNU6-958P	RNU6-958P	RNA, U6 small nuclear 958, pseudogene	106481482	https://www.ncbi.nlm.nih.gov/gene/?term=106481482
RN7SL18P	RN7SL18P	RNA, 7SL, cytoplasmic 18, pseudogene	106480927	https://www.ncbi.nlm.nih.gov/gene/?term=106480927
TMEM17	TMEM17	transmembrane protein 17	200728	https://www.ncbi.nlm.nih.gov/gene/?term=200728
PSAT1P2	PSAT1P2	phosphoserine aminotransferase 1 pseudogene 2	107133519	https://www.ncbi.nlm.nih.gov/gene/?term=107133519
RSL24D1P2	RSL24D1P2	ribosomal L24 domain containing 1 pseudogene 2	100129162	https://www.ncbi.nlm.nih.gov/gene/?term=100129162
EHBP1	EHBP1	EH domain binding protein 1	23301	https://www.ncbi.nlm.nih.gov/gene/?term=23301
RN7SL113P	RN7SL113P	RNA, 7SL, cytoplasmic 113, pseudogene	106480951	https://www.ncbi.nlm.nih.gov/gene/?term=106480951
CAPG	CAPG	capping actin protein, gelsolin like	822	https://www.ncbi.nlm.nih.gov/gene/?term=822
SH2D6	SH2D6	SH2 domain containing 6	284948	https://www.ncbi.nlm.nih.gov/gene/?term=284948
RNU7-64P	RNU7-64P	RNA, U7 small nuclear 64 pseudogene	100151662	https://www.ncbi.nlm.nih.gov/gene/?term=100151662
RN7SL251P	RN7SL251P	RNA, 7SL, cytoplasmic 251, pseudogene	106480990	https://www.ncbi.nlm.nih.gov/gene/?term=106480990
MAT2A	MAT2A	methionine adenosyltransferase 2A	4144	https://www.ncbi.nlm.nih.gov/gene/?term=4144
GGCX	GGCX	gamma-glutamyl carboxylase	2677	https://www.ncbi.nlm.nih.gov/gene/?term=2677
VAMP8	VAMP8	vesicle associated membrane protein 8	8673	https://www.ncbi.nlm.nih.gov/gene/?term=8673
RN7SL126P	RN7SL126P	RNA, 7SL, cytoplasmic 126, pseudogene	106479268	https://www.ncbi.nlm.nih.gov/gene/?term=106479268
VAMP5	VAMP5	vesicle associated membrane protein 5	10791	https://www.ncbi.nlm.nih.gov/gene/?term=10791
RNF181	RNF181	ring finger protein 181	51255	https://www.ncbi.nlm.nih.gov/gene/?term=51255
ELMOD3	ELMOD3	ELMO domain containing 3	84173	https://www.ncbi.nlm.nih.gov/gene/?term=84173
TMEM150A	TMEM150A	transmembrane protein 150A	129303	https://www.ncbi.nlm.nih.gov/gene/?term=129303
ITGA6	ITGA6	integrin subunit alpha 6	3655	https://www.ncbi.nlm.nih.gov/gene/?term=3655
PDK1	PDK1	pyruvate dehydrogenase kinase 1	5163	https://www.ncbi.nlm.nih.gov/gene/?term=5163
RAPGEF4-AS1	RAPGEF4-AS1	RAPGEF4 antisense RNA 1	91149	https://www.ncbi.nlm.nih.gov/gene/?term=91149
RAPGEF4	RAPGEF4	Rap guanine nucleotide exchange factor 4	11069	https://www.ncbi.nlm.nih.gov/gene/?term=11069
COL6A3	COL6A3	collagen type VI alpha 3 chain	1293	https://www.ncbi.nlm.nih.gov/gene/?term=1293
MLPH	MLPH	melanophilin	79083	https://www.ncbi.nlm.nih.gov/gene/?term=79083
RNU6-1140P	RNU6-1140P	RNA, U6 small nuclear 1140, pseudogene	106480068	https://www.ncbi.nlm.nih.gov/gene/?term=106480068
PRLH	PRLH	prolactin releasing hormone	51052	https://www.ncbi.nlm.nih.gov/gene/?term=51052
RAB17	RAB17	RAB17, member RAS oncogene family	64284	https://www.ncbi.nlm.nih.gov/gene/?term=64284
LRRFIP1	LRRFIP1	LRR binding FLII interacting protein 1	9208	https://www.ncbi.nlm.nih.gov/gene/?term=9208
RBM44	RBM44	RNA binding motif protein 44	375316	https://www.ncbi.nlm.nih.gov/gene/?term=375316
RAMP1	RAMP1	receptor activity modifying protein 1	10267	https://www.ncbi.nlm.nih.gov/gene/?term=10267
UBE2F	UBE2F	ubiquitin conjugating enzyme E2 F (putative)	140739	https://www.ncbi.nlm.nih.gov/gene/?term=140739
UBE2F-SCLY	UBE2F-SCLY	UBE2F-SCLY readthrough (NMD candidate)	100533179	https://www.ncbi.nlm.nih.gov/gene/?term=100533179
RNU6-1333P	RNU6-1333P	RNA, U6 small nuclear 1333, pseudogene	106481601	https://www.ncbi.nlm.nih.gov/gene/?term=106481601
SCLY	SCLY	selenocysteine lyase	51540	https://www.ncbi.nlm.nih.gov/gene/?term=51540
ESPNL	ESPNL	espin like	339768	https://www.ncbi.nlm.nih.gov/gene/?term=339768
KLHL30	KLHL30	kelch like family member 30	377007	https://www.ncbi.nlm.nih.gov/gene/?term=377007
KIF1A	KIF1A	kinesin family member 1A	547	https://www.ncbi.nlm.nih.gov/gene/?term=547
AGXT	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	189	https://www.ncbi.nlm.nih.gov/gene/?term=189
SNED1	SNED1	sushi, nidogen and EGF like domains 1	25992	https://www.ncbi.nlm.nih.gov/gene/?term=25992
PASK	PASK	PAS domain containing serine/threonine kinase	23178	https://www.ncbi.nlm.nih.gov/gene/?term=23178
PPP1R7	PPP1R7	protein phosphatase 1 regulatory subunit 7	5510	https://www.ncbi.nlm.nih.gov/gene/?term=5510
ANO7	ANO7	anoctamin 7	50636	https://www.ncbi.nlm.nih.gov/gene/?term=50636
HDLBP	HDLBP	high density lipoprotein binding protein	3069	https://www.ncbi.nlm.nih.gov/gene/?term=3069
SEPT2	SEPT2	septin 2	4735	https://www.ncbi.nlm.nih.gov/gene/?term=4735
FARP2	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	9855	https://www.ncbi.nlm.nih.gov/gene/?term=9855
MIR3133	MIR3133	microRNA 3133	100422942	https://www.ncbi.nlm.nih.gov/gene/?term=100422942
STK25	STK25	serine/threonine kinase 25	10494	https://www.ncbi.nlm.nih.gov/gene/?term=10494
BOK-AS1	BOK-AS1	BOK antisense RNA 1	100379249	https://www.ncbi.nlm.nih.gov/gene/?term=100379249
BOK	BOK	BCL2 family apoptosis regulator BOK	666	https://www.ncbi.nlm.nih.gov/gene/?term=666
THAP4	THAP4	THAP domain containing 4	51078	https://www.ncbi.nlm.nih.gov/gene/?term=51078
RNA5SP122	RNA5SP122	RNA, 5S ribosomal pseudogene 122	100873392	https://www.ncbi.nlm.nih.gov/gene/?term=100873392
ATG4B	ATG4B	autophagy related 4B cysteine peptidase	23192	https://www.ncbi.nlm.nih.gov/gene/?term=23192
DTYMK	DTYMK	deoxythymidylate kinase	1841	https://www.ncbi.nlm.nih.gov/gene/?term=1841
ING5	ING5	inhibitor of growth family member 5	84289	https://www.ncbi.nlm.nih.gov/gene/?term=84289
D2HGDH	D2HGDH	D-2-hydroxyglutarate dehydrogenase	728294	https://www.ncbi.nlm.nih.gov/gene/?term=728294
GAL3ST2	GAL3ST2	galactose-3-O-sulfotransferase 2	64090	https://www.ncbi.nlm.nih.gov/gene/?term=64090
NEU4	NEU4	neuraminidase 4	129807	https://www.ncbi.nlm.nih.gov/gene/?term=129807
PDCD1	PDCD1	programmed cell death 1	5133	https://www.ncbi.nlm.nih.gov/gene/?term=5133
AQP12A	AQP12A	aquaporin 12A	375318	https://www.ncbi.nlm.nih.gov/gene/?term=375318
SRMS	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	6725	https://www.ncbi.nlm.nih.gov/gene/?term=6725
HELZ2	HELZ2	helicase with zinc finger 2	85441	https://www.ncbi.nlm.nih.gov/gene/?term=85441
GMEB2	GMEB2	glucocorticoid modulatory element binding protein 2	26205	https://www.ncbi.nlm.nih.gov/gene/?term=26205
STMN3	STMN3	stathmin 3	50861	https://www.ncbi.nlm.nih.gov/gene/?term=50861
RTEL1	RTEL1	regulator of telomere elongation helicase 1	51750	https://www.ncbi.nlm.nih.gov/gene/?term=51750
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)	100533107	https://www.ncbi.nlm.nih.gov/gene/?term=100533107
TNFRSF6B	TNFRSF6B	TNF receptor superfamily member 6b	8771	https://www.ncbi.nlm.nih.gov/gene/?term=8771
ARFRP1	ARFRP1	ADP ribosylation factor related protein 1	10139	https://www.ncbi.nlm.nih.gov/gene/?term=10139
ZGPAT	ZGPAT	zinc finger CCCH-type and G-patch domain containing	84619	https://www.ncbi.nlm.nih.gov/gene/?term=84619
LIME1	LIME1	Lck interacting transmembrane adaptor 1	54923	https://www.ncbi.nlm.nih.gov/gene/?term=54923
SLC2A4RG	SLC2A4RG	SLC2A4 regulator	56731	https://www.ncbi.nlm.nih.gov/gene/?term=56731
ZBTB46	ZBTB46	zinc finger and BTB domain containing 46	140685	https://www.ncbi.nlm.nih.gov/gene/?term=140685
ABHD16B	ABHD16B	abhydrolase domain containing 16B	140701	https://www.ncbi.nlm.nih.gov/gene/?term=140701
TPD52L2	TPD52L2	TPD52 like 2	7165	https://www.ncbi.nlm.nih.gov/gene/?term=7165
DNAJC5	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	80331	https://www.ncbi.nlm.nih.gov/gene/?term=80331
RNU1-134P	RNU1-134P	RNA, U1 small nuclear 134, pseudogene	106480194	https://www.ncbi.nlm.nih.gov/gene/?term=106480194
MIR941-2	MIR941-2	microRNA 941-2	100126339	https://www.ncbi.nlm.nih.gov/gene/?term=100126339
MIR941-3	MIR941-3	microRNA 941-3	100126352	https://www.ncbi.nlm.nih.gov/gene/?term=100126352
MIR941-1	MIR941-1	microRNA 941-1	100126329	https://www.ncbi.nlm.nih.gov/gene/?term=100126329
UCKL1	UCKL1	uridine-cytidine kinase 1 like 1	54963	https://www.ncbi.nlm.nih.gov/gene/?term=54963
MIR1914	MIR1914	microRNA 1914	100302137	https://www.ncbi.nlm.nih.gov/gene/?term=100302137
MIR647	MIR647	microRNA 647	693232	https://www.ncbi.nlm.nih.gov/gene/?term=693232
ZNF512B	ZNF512B	zinc finger protein 512B	57473	https://www.ncbi.nlm.nih.gov/gene/?term=57473
SAMD10	SAMD10	sterile alpha motif domain containing 10	140700	https://www.ncbi.nlm.nih.gov/gene/?term=140700
PRPF6	PRPF6	pre-mRNA processing factor 6	24148	https://www.ncbi.nlm.nih.gov/gene/?term=24148
SOX18	SOX18	SRY-box 18	54345	https://www.ncbi.nlm.nih.gov/gene/?term=54345
TCEA2	TCEA2	transcription elongation factor A2	6919	https://www.ncbi.nlm.nih.gov/gene/?term=6919
RGS19	RGS19	regulator of G protein signaling 19	10287	https://www.ncbi.nlm.nih.gov/gene/?term=10287
OPRL1	OPRL1	opioid related nociceptin receptor 1	4987	https://www.ncbi.nlm.nih.gov/gene/?term=4987
NPBWR2	NPBWR2	neuropeptides B and W receptor 2	2832	https://www.ncbi.nlm.nih.gov/gene/?term=2832
MYT1	MYT1	myelin transcription factor 1	4661	https://www.ncbi.nlm.nih.gov/gene/?term=4661
PCMTD2	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	55251	https://www.ncbi.nlm.nih.gov/gene/?term=55251
DGCR6	DGCR6	DiGeorge syndrome critical region gene 6	8214	https://www.ncbi.nlm.nih.gov/gene/?term=8214
PRODH	PRODH	proline dehydrogenase 1	5625	https://www.ncbi.nlm.nih.gov/gene/?term=5625
DGCR5	DGCR5	DiGeorge syndrome critical region gene 5	26220	https://www.ncbi.nlm.nih.gov/gene/?term=26220
DGCR9	DGCR9	DiGeorge syndrome critical region gene 9	25787	https://www.ncbi.nlm.nih.gov/gene/?term=25787
DGCR10	DGCR10	DiGeorge syndrome critical region gene 10	26222	https://www.ncbi.nlm.nih.gov/gene/?term=26222
CA15P1	CA15P1	carbonic anhydrase 15, pseudogene 1	100996435	https://www.ncbi.nlm.nih.gov/gene/?term=100996435
DGCR2	DGCR2	DiGeorge syndrome critical region gene 2	9993	https://www.ncbi.nlm.nih.gov/gene/?term=9993
DGCR11	DGCR11	DiGeorge syndrome critical region gene 11	25786	https://www.ncbi.nlm.nih.gov/gene/?term=25786
TSSK1A	TSSK1A	testis specific serine kinase 1A, pseudogene	23752	https://www.ncbi.nlm.nih.gov/gene/?term=23752
TSSK2	TSSK2	testis specific serine kinase 2	23617	https://www.ncbi.nlm.nih.gov/gene/?term=23617
GSC2	GSC2	goosecoid homeobox 2	2928	https://www.ncbi.nlm.nih.gov/gene/?term=2928
SLC25A1	SLC25A1	solute carrier family 25 member 1	6576	https://www.ncbi.nlm.nih.gov/gene/?term=6576
CLTCL1	CLTCL1	clathrin heavy chain like 1	8218	https://www.ncbi.nlm.nih.gov/gene/?term=8218
SNORA15	SNORA15	small nucleolar RNA, H/ACA box 15	677803	https://www.ncbi.nlm.nih.gov/gene/?term=677803
KRT18P62	KRT18P62	keratin 18 pseudogene 62	100287635	https://www.ncbi.nlm.nih.gov/gene/?term=100287635
HIRA	HIRA	histone cell cycle regulator	7290	https://www.ncbi.nlm.nih.gov/gene/?term=7290
C22orf39	C22orf39	chromosome 22 open reading frame 39	128977	https://www.ncbi.nlm.nih.gov/gene/?term=128977
RN7SL168P	RN7SL168P	RNA, 7SL, cytoplasmic 168, pseudogene	106480491	https://www.ncbi.nlm.nih.gov/gene/?term=106480491
MRPL40	MRPL40	mitochondrial ribosomal protein L40	64976	https://www.ncbi.nlm.nih.gov/gene/?term=64976
CDC45	CDC45	cell division cycle 45	8318	https://www.ncbi.nlm.nih.gov/gene/?term=8318
CLDN5	CLDN5	claudin 5	7122	https://www.ncbi.nlm.nih.gov/gene/?term=7122
SEPT5	SEPT5	septin 5	5413	https://www.ncbi.nlm.nih.gov/gene/?term=5413
GP1BB	GP1BB	glycoprotein Ib platelet subunit beta	2812	https://www.ncbi.nlm.nih.gov/gene/?term=2812
TBX1	TBX1	T-box 1	6899	https://www.ncbi.nlm.nih.gov/gene/?term=6899
GNB1L	GNB1L	G protein subunit beta 1 like	54584	https://www.ncbi.nlm.nih.gov/gene/?term=54584
TXNRD2	TXNRD2	thioredoxin reductase 2	10587	https://www.ncbi.nlm.nih.gov/gene/?term=10587
COMT	COMT	catechol-O-methyltransferase	1312	https://www.ncbi.nlm.nih.gov/gene/?term=1312
MIR4761	MIR4761	microRNA 4761	100616414	https://www.ncbi.nlm.nih.gov/gene/?term=100616414
ARVCF	ARVCF	ARVCF, delta catenin family member	421	https://www.ncbi.nlm.nih.gov/gene/?term=421
TANGO2	TANGO2	transport and golgi organization 2 homolog	128989	https://www.ncbi.nlm.nih.gov/gene/?term=128989
MIR185	MIR185	microRNA 185	406961	https://www.ncbi.nlm.nih.gov/gene/?term=406961
DGCR8	DGCR8	DGCR8, microprocessor complex subunit	54487	https://www.ncbi.nlm.nih.gov/gene/?term=54487
MIR3618	MIR3618	microRNA 3618	100500860	https://www.ncbi.nlm.nih.gov/gene/?term=100500860
MIR1306	MIR1306	microRNA 1306	100302197	https://www.ncbi.nlm.nih.gov/gene/?term=100302197
TRMT2A	TRMT2A	tRNA methyltransferase 2 homolog A	27037	https://www.ncbi.nlm.nih.gov/gene/?term=27037
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	https://www.ncbi.nlm.nih.gov/gene/?term=53947
RPL5P34	RPL5P34	ribosomal protein L5 pseudogene 34	388907	https://www.ncbi.nlm.nih.gov/gene/?term=388907
GOLGA2P4	GOLGA2P4	GOLGA2 pseudogene 4	100873742	https://www.ncbi.nlm.nih.gov/gene/?term=100873742
ARFGAP3	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	26286	https://www.ncbi.nlm.nih.gov/gene/?term=26286
PACSIN2	PACSIN2	protein kinase C and casein kinase substrate in neurons 2	11252	https://www.ncbi.nlm.nih.gov/gene/?term=11252
TTLL1	TTLL1	tubulin tyrosine ligase like 1	25809	https://www.ncbi.nlm.nih.gov/gene/?term=25809
CYB5R3	CYB5R3	cytochrome b5 reductase 3	1727	https://www.ncbi.nlm.nih.gov/gene/?term=1727
BIK	BIK	BCL2 interacting killer	638	https://www.ncbi.nlm.nih.gov/gene/?term=638
VGLL3	VGLL3	vestigial like family member 3	389136	https://www.ncbi.nlm.nih.gov/gene/?term=389136
PPATP1	PPATP1	phosphoribosyl pyrophosphate amidotransferase pseudogene 1	100289640	https://www.ncbi.nlm.nih.gov/gene/?term=100289640
MIR4795	MIR4795	microRNA 4795	100616161	https://www.ncbi.nlm.nih.gov/gene/?term=100616161
CHMP2B	CHMP2B	charged multivesicular body protein 2B	25978	https://www.ncbi.nlm.nih.gov/gene/?term=25978
BOC	BOC	BOC cell adhesion associated, oncogene regulated	91653	https://www.ncbi.nlm.nih.gov/gene/?term=91653
SPICE1	SPICE1	spindle and centriole associated protein 1	152185	https://www.ncbi.nlm.nih.gov/gene/?term=152185
SIDT1	SIDT1	SID1 transmembrane family member 1	54847	https://www.ncbi.nlm.nih.gov/gene/?term=54847
SIDT1-AS1	SIDT1-AS1	SIDT1 antisense RNA 1	100874030	https://www.ncbi.nlm.nih.gov/gene/?term=100874030
MIR4446	MIR4446	microRNA 4446	100616476	https://www.ncbi.nlm.nih.gov/gene/?term=100616476
RN7SL767P	RN7SL767P	RNA, 7SL, cytoplasmic 767, pseudogene	106481131	https://www.ncbi.nlm.nih.gov/gene/?term=106481131
RNU6-823P	RNU6-823P	RNA, U6 small nuclear 823, pseudogene	106481441	https://www.ncbi.nlm.nih.gov/gene/?term=106481441
EEFSEC	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific	60678	https://www.ncbi.nlm.nih.gov/gene/?term=60678
DNAJB8	DNAJB8	DnaJ heat shock protein family (Hsp40) member B8	165721	https://www.ncbi.nlm.nih.gov/gene/?term=165721
DNAJB8-AS1	DNAJB8-AS1	DNAJB8 antisense RNA 1	285224	https://www.ncbi.nlm.nih.gov/gene/?term=285224
GATA2	GATA2	GATA binding protein 2	2624	https://www.ncbi.nlm.nih.gov/gene/?term=2624
TMED10P2	TMED10P2	transmembrane p24 trafficking protein 10 pseudogene 2	100129727	https://www.ncbi.nlm.nih.gov/gene/?term=100129727
RUVBL1	RUVBL1	RuvB like AAA ATPase 1	8607	https://www.ncbi.nlm.nih.gov/gene/?term=8607
RUVBL1-AS1	RUVBL1-AS1	RUVBL1 antisense RNA 1	100874089	https://www.ncbi.nlm.nih.gov/gene/?term=100874089
ZBTB38	ZBTB38	zinc finger and BTB domain containing 38	253461	https://www.ncbi.nlm.nih.gov/gene/?term=253461
KRT18P35	KRT18P35	keratin 18 pseudogene 35	391584	https://www.ncbi.nlm.nih.gov/gene/?term=391584
RASA2	RASA2	RAS p21 protein activator 2	5922	https://www.ncbi.nlm.nih.gov/gene/?term=5922
RASA2-IT1	RASA2-IT1	RASA2 intronic transcript 1	100874298	https://www.ncbi.nlm.nih.gov/gene/?term=100874298
YWHAQP6	YWHAQP6	YWHAQ pseudogene 6	101290504	https://www.ncbi.nlm.nih.gov/gene/?term=101290504
RNF7	RNF7	ring finger protein 7	9616	https://www.ncbi.nlm.nih.gov/gene/?term=9616
GRK7	GRK7	G protein-coupled receptor kinase 7	131890	https://www.ncbi.nlm.nih.gov/gene/?term=131890
HMGN2P25	HMGN2P25	high mobility group nucleosomal binding domain 2 pseudogene 25	729687	https://www.ncbi.nlm.nih.gov/gene/?term=729687
RNU6-509P	RNU6-509P	RNA, U6 small nuclear 509, pseudogene	106479792	https://www.ncbi.nlm.nih.gov/gene/?term=106479792
ATP1B3	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	483	https://www.ncbi.nlm.nih.gov/gene/?term=483
ATP1B3-AS1	ATP1B3-AS1	ATP1B3 antisense RNA 1	100874077	https://www.ncbi.nlm.nih.gov/gene/?term=100874077
TERC	TERC	telomerase RNA component	7012	https://www.ncbi.nlm.nih.gov/gene/?term=7012
ACTRT3	ACTRT3	actin related protein T3	84517	https://www.ncbi.nlm.nih.gov/gene/?term=84517
MYNN	MYNN	myoneurin	55892	https://www.ncbi.nlm.nih.gov/gene/?term=55892
LRRC34	LRRC34	leucine rich repeat containing 34	151827	https://www.ncbi.nlm.nih.gov/gene/?term=151827
LRRIQ4	LRRIQ4	leucine rich repeats and IQ motif containing 4	344657	https://www.ncbi.nlm.nih.gov/gene/?term=344657
LRRC31	LRRC31	leucine rich repeat containing 31	79782	https://www.ncbi.nlm.nih.gov/gene/?term=79782
KRT18P43	KRT18P43	keratin 18 pseudogene 43	151825	https://www.ncbi.nlm.nih.gov/gene/?term=151825
SAMD7	SAMD7	sterile alpha motif domain containing 7	344658	https://www.ncbi.nlm.nih.gov/gene/?term=344658
SEC62	SEC62	SEC62 homolog, preprotein translocation factor	7095	https://www.ncbi.nlm.nih.gov/gene/?term=7095
SEC62-AS1	SEC62-AS1	SEC62 antisense RNA 1	106478967	https://www.ncbi.nlm.nih.gov/gene/?term=106478967
GPR160	GPR160	G protein-coupled receptor 160	26996	https://www.ncbi.nlm.nih.gov/gene/?term=26996
RNU4-38P	RNU4-38P	RNA, U4 small nuclear 38, pseudogene	106479574	https://www.ncbi.nlm.nih.gov/gene/?term=106479574
PHC3	PHC3	polyhomeotic homolog 3	80012	https://www.ncbi.nlm.nih.gov/gene/?term=80012
RNU6-315P	RNU6-315P	RNA, U6 small nuclear 315, pseudogene	106479707	https://www.ncbi.nlm.nih.gov/gene/?term=106479707
PRKCI	PRKCI	protein kinase C iota	5584	https://www.ncbi.nlm.nih.gov/gene/?term=5584
SKIL	SKIL	SKI like proto-oncogene	6498	https://www.ncbi.nlm.nih.gov/gene/?term=6498
CLDN11	CLDN11	claudin 11	5010	https://www.ncbi.nlm.nih.gov/gene/?term=5010
SLC7A14	SLC7A14	solute carrier family 7 member 14	57709	https://www.ncbi.nlm.nih.gov/gene/?term=57709
KRT8P13	KRT8P13	keratin 8 pseudogene 13	730023	https://www.ncbi.nlm.nih.gov/gene/?term=730023
RNY5P3	RNY5P3	RNY5 pseudogene 3	100379664	https://www.ncbi.nlm.nih.gov/gene/?term=100379664
RPL22L1	RPL22L1	ribosomal protein L22 like 1	200916	https://www.ncbi.nlm.nih.gov/gene/?term=200916
GC	GC	GC, vitamin D binding protein	2638	https://www.ncbi.nlm.nih.gov/gene/?term=2638
RNA5SP163	RNA5SP163	RNA, 5S ribosomal pseudogene 163	100873428	https://www.ncbi.nlm.nih.gov/gene/?term=100873428
NPFFR2	NPFFR2	neuropeptide FF receptor 2	10886	https://www.ncbi.nlm.nih.gov/gene/?term=10886
ADAMTS3	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	https://www.ncbi.nlm.nih.gov/gene/?term=9508
HNRNPA1P67	HNRNPA1P67	heterogeneous nuclear ribonucleoprotein A1 pseudogene 67	728019	https://www.ncbi.nlm.nih.gov/gene/?term=728019
RNU4ATAC9P	RNU4ATAC9P	RNA, U4atac small nuclear 9, pseudogene	106479541	https://www.ncbi.nlm.nih.gov/gene/?term=106479541
RNU6ATAC5P	RNU6ATAC5P	RNA, U6atac small nuclear 5, pseudogene	100151688	https://www.ncbi.nlm.nih.gov/gene/?term=100151688
COX18	COX18	cytochrome c oxidase assembly factor COX18	285521	https://www.ncbi.nlm.nih.gov/gene/?term=285521
ANKRD17	ANKRD17	ankyrin repeat domain 17	26057	https://www.ncbi.nlm.nih.gov/gene/?term=26057
HMGA1P2	HMGA1P2	high mobility group AT-hook 1 pseudogene 2	171559	https://www.ncbi.nlm.nih.gov/gene/?term=171559
ALB	ALB	albumin	213	https://www.ncbi.nlm.nih.gov/gene/?term=213
AFP	AFP	alpha fetoprotein	174	https://www.ncbi.nlm.nih.gov/gene/?term=174
AFM	AFM	afamin	173	https://www.ncbi.nlm.nih.gov/gene/?term=173
RASSF6	RASSF6	Ras association domain family member 6	166824	https://www.ncbi.nlm.nih.gov/gene/?term=166824
CXCL6	CXCL6	C-X-C motif chemokine ligand 6	6372	https://www.ncbi.nlm.nih.gov/gene/?term=6372
PPBPP1	PPBPP1	pro-platelet basic protein pseudogene 1	728045	https://www.ncbi.nlm.nih.gov/gene/?term=728045
PF4V1	PF4V1	platelet factor 4 variant 1	5197	https://www.ncbi.nlm.nih.gov/gene/?term=5197
CXCL1	CXCL1	C-X-C motif chemokine ligand 1	2919	https://www.ncbi.nlm.nih.gov/gene/?term=2919
HNRNPA1P55	HNRNPA1P55	heterogeneous nuclear ribonucleoprotein A1 pseudogene 55	642958	https://www.ncbi.nlm.nih.gov/gene/?term=642958
PF4	PF4	platelet factor 4	5196	https://www.ncbi.nlm.nih.gov/gene/?term=5196
PPBP	PPBP	pro-platelet basic protein	5473	https://www.ncbi.nlm.nih.gov/gene/?term=5473
CXCL5	CXCL5	C-X-C motif chemokine ligand 5	6374	https://www.ncbi.nlm.nih.gov/gene/?term=6374
RN7SL218P	RN7SL218P	RNA, 7SL, cytoplasmic 218, pseudogene	106480981	https://www.ncbi.nlm.nih.gov/gene/?term=106480981
CXCL3	CXCL3	C-X-C motif chemokine ligand 3	2921	https://www.ncbi.nlm.nih.gov/gene/?term=2921
PPBPP2	PPBPP2	pro-platelet basic protein pseudogene 2	10895	https://www.ncbi.nlm.nih.gov/gene/?term=10895
CXCL2	CXCL2	C-X-C motif chemokine ligand 2	2920	https://www.ncbi.nlm.nih.gov/gene/?term=2920
MTHFD2L	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	441024	https://www.ncbi.nlm.nih.gov/gene/?term=441024
